"uv1920","uv01_19","Deviation","data1","sign"
1407.26401026474,1118.87650784046,288.387502424281,2019-11-01,"pos"
1372.03774655026,1083.48854817258,288.54919837768,2019-11-02,"pos"
1338.07578009424,1052.58217659019,285.493603504052,2019-11-03,"pos"
1294.61492038369,1026.80487696034,267.810043423346,2019-11-04,"pos"
1235.3336797529,1003.13531191323,232.198367839665,2019-11-05,"pos"
1169.23685355101,984.677255863571,184.55959768744,2019-11-06,"pos"
1138.23972070441,972.74337156589,165.496349138519,2019-11-07,"pos"
1119.44186805705,961.416248050534,158.025620006512,2019-11-08,"pos"
1093.26025256022,957.006299851839,136.253952708384,2019-11-09,"pos"
1066.16533503551,957.072557358821,109.092777676686,2019-11-10,"pos"
1049.07912520305,961.900079969254,87.1790452337963,2019-11-11,"pos"
1049.94473068835,972.002623647859,77.9421070404897,2019-11-12,"pos"
1055.81446392832,980.281801570824,75.5326623574929,2019-11-13,"pos"
1021.35433884756,987.574746273731,33.7795925738322,2019-11-14,"pos"
965.62798383947,994.386294711735,-28.758310872265,2019-11-15,"neg"
910.911582983763,997.773850306861,-86.8622673230981,2019-11-16,"neg"
847.867980649761,997.155568483519,-149.287587833759,2019-11-17,"neg"
765.551712660595,994.997476505639,-229.445763845044,2019-11-18,"neg"
686.976106401382,992.235432450322,-305.25932604894,2019-11-19,"neg"
636.919279873804,987.77342446536,-350.854144591555,2019-11-20,"neg"
634.096139515618,982.654330387319,-348.558190871701,2019-11-21,"neg"
669.992968523486,977.111313402088,-307.118344878601,2019-11-22,"neg"
717.113513513991,971.202298372717,-254.088784858726,2019-11-23,"neg"
782.421287734227,965.915259620368,-183.493971886141,2019-11-24,"neg"
884.357093057991,959.460854064715,-75.1037610067244,2019-11-25,"neg"
991.270124171224,950.218819642488,41.0513045287355,2019-11-26,"pos"
1074.21512418202,941.724590617179,132.490533564837,2019-11-27,"pos"
1129.95946556394,932.072504400309,197.886961163636,2019-11-28,"pos"
1162.61593598786,923.520408889198,239.095527098664,2019-11-29,"pos"
1190.85416179796,915.195471645878,275.658690152084,2019-11-30,"pos"
1211.63164138934,908.546818961231,303.08482242811,2019-12-01,"pos"
1208.30889349836,900.001571590897,308.307321907461,2019-12-02,"pos"
1187.60732741901,893.946502739292,293.660824679718,2019-12-03,"pos"
1159.64432306811,891.303641740232,268.340681327877,2019-12-04,"pos"
1120.27822208002,890.630485653565,229.647736426457,2019-12-05,"pos"
1062.14253142199,891.887937027122,170.254594394866,2019-12-06,"pos"
993.541618536645,893.118448181391,100.423170355254,2019-12-07,"pos"
917.658407223815,892.501029029941,25.1573781938745,2019-12-08,"pos"
838.804740057621,897.247609626074,-58.4428695684535,2019-12-09,"neg"
773.843513744238,900.370155012487,-126.526641268248,2019-12-10,"neg"
714.186670136548,899.670436607244,-185.483766470696,2019-12-11,"neg"
675.94198244168,898.724171191998,-222.782188750317,2019-12-12,"neg"
655.73597965626,895.072284178974,-239.336304522714,2019-12-13,"neg"
649.327945141425,894.202968307767,-244.875023166342,2019-12-14,"neg"
656.965103126547,895.853988735902,-238.888885609356,2019-12-15,"neg"
671.856887455286,894.943029891615,-223.086142436329,2019-12-16,"neg"
680.785961221213,897.52975373033,-216.743792509118,2019-12-17,"neg"
706.245144292907,907.594331447771,-201.349187154864,2019-12-18,"neg"
733.062418072559,924.826634507452,-191.764216434892,2019-12-19,"neg"
766.90948444642,945.411325053303,-178.501840606883,2019-12-20,"neg"
783.165777289152,964.089281417595,-180.923504128443,2019-12-21,"neg"
771.750628186506,981.711441008828,-209.960812822322,2019-12-22,"neg"
759.759055685567,996.898105139165,-237.139049453598,2019-12-23,"neg"
736.949867183028,1004.57606525148,-267.626198068449,2019-12-24,"neg"
691.948568250183,1001.89280033328,-309.944232083094,2019-12-25,"neg"
636.218967000684,985.278627100664,-349.05966009998,2019-12-26,"neg"
582.983550947815,967.710100679679,-384.726549731864,2019-12-27,"neg"
540.134861564191,953.083481659036,-412.948620094845,2019-12-28,"neg"
518.004905669772,939.374819959049,-421.369914289277,2019-12-29,"neg"
502.788924497296,929.534072347778,-426.745147850482,2019-12-30,"neg"
512.422435864523,929.34636888752,-416.923933022997,2019-12-31,"neg"
545.373590858244,936.865568080794,-391.491977222549,2020-01-01,"neg"
589.399927361649,952.515068920885,-363.115141559236,2020-01-02,"neg"
613.005015589559,965.070555808271,-352.065540218712,2020-01-03,"neg"
651.056877161974,973.336316102645,-322.279438940671,2020-01-04,"neg"
704.437024966956,982.549377792226,-278.11235282527,2020-01-05,"neg"
756.333117265164,989.684631384533,-233.351514119368,2020-01-06,"neg"
799.383023486479,989.71327079038,-190.330247303901,2020-01-07,"neg"
837.369027866331,983.399591682197,-146.030563815865,2020-01-08,"neg"
854.117741245986,975.647650039709,-121.529908793722,2020-01-09,"neg"
886.025258114576,971.518614481706,-85.4933563671306,2020-01-10,"neg"
895.599740186714,971.328758745066,-75.7290185583519,2020-01-11,"neg"
873.97421791736,969.582865877484,-95.6086479601237,2020-01-12,"neg"
835.531961886102,969.299192271516,-133.767230385414,2020-01-13,"neg"
775.676039196814,975.305118164843,-199.629078968028,2020-01-14,"neg"
696.388973545926,987.938970733519,-291.549997187593,2020-01-15,"neg"
645.745148000945,1002.9832486875,-357.238100686555,2020-01-16,"neg"
615.831014792304,1017.73404644294,-401.903031650634,2020-01-17,"neg"
619.920749334187,1029.26365260526,-409.342903271076,2020-01-18,"neg"
666.240249036986,1039.1775933323,-372.937344295318,2020-01-19,"neg"
742.785920448125,1052.7136845913,-309.927764143175,2020-01-20,"neg"
840.408133315939,1061.87629517307,-221.468161857128,2020-01-21,"neg"
961.873862613226,1068.87703376651,-107.003171153288,2020-01-22,"neg"
1076.38619832733,1075.26466900735,1.12152931997862,2020-01-23,"pos"
1166.71484246872,1080.37639087275,86.3384515959653,2020-01-24,"pos"
1208.68566915701,1084.86064847137,123.825020685637,2020-01-25,"pos"
1209.24309821006,1090.57563189685,118.667466313207,2020-01-26,"pos"
1189.73058994755,1089.98806051578,99.7425294317716,2020-01-27,"pos"
1184.84332519835,1090.74742805062,94.0958971477315,2020-01-28,"pos"
1154.21575639806,1095.15132665585,59.0644297422106,2020-01-29,"pos"
1102.28350267141,1101.05706610117,1.22643657024259,2020-01-30,"pos"
1050.13124067713,1109.43049855948,-59.2992578823471,2020-01-31,"neg"
1040.35788327011,1119.35918017911,-79.0012969089964,2020-02-01,"neg"
1041.18870595705,1129.80497185224,-88.6162658951959,2020-02-02,"neg"
1027.55667916886,1140.22874051067,-112.672061341815,2020-02-03,"neg"
997.600081647392,1149.59396628551,-151.993884638121,2020-02-04,"neg"
1004.59914088201,1151.06239147902,-146.463250597015,2020-02-05,"neg"
1045.36768146466,1146.39013665601,-101.022455191355,2020-02-06,"neg"
1088.18738764936,1140.11009158311,-51.9227039337519,2020-02-07,"neg"
1127.26294108159,1137.42490346982,-10.161962388234,2020-02-08,"neg"
1178.32493308674,1133.9965133083,44.3284197784355,2020-02-09,"pos"
1276.34214112818,1135.80970798439,140.532433143783,2020-02-10,"pos"
1362.69388529711,1140.48432199121,222.209563305908,2020-02-11,"pos"
1422.60565250584,1149.43271795244,273.172934553408,2020-02-12,"pos"
1450.37745272783,1158.25914911684,292.118303610988,2020-02-13,"pos"
1463.61715636165,1160.60505373819,303.012102623468,2020-02-14,"pos"
1439.10315623426,1151.11949738739,287.983658846875,2020-02-15,"pos"
1393.14079379864,1143.12441311664,250.016380682,2020-02-16,"pos"
1303.90908793187,1130.91371953652,172.995368395351,2020-02-17,"pos"
1226.95428050711,1116.71616642649,110.238114080616,2020-02-18,"pos"
1136.86328462694,1105.41384552189,31.4494391050526,2020-02-19,"pos"
1049.49209719041,1104.02198054756,-54.5298833571495,2020-02-20,"neg"
993.358415184278,1110.64158164108,-117.2831664568,2020-02-21,"neg"
983.491360728738,1135.84757130958,-152.356210580842,2020-02-22,"neg"
992.157095354976,1171.2790094814,-179.121914126429,2020-02-23,"neg"
1025.30668408498,1214.79175755639,-189.485073471413,2020-02-24,"neg"
1041.09361962484,1269.30028282915,-228.206663204305,2020-02-25,"neg"
1067.57065351884,1328.44567722278,-260.875023703942,2020-02-26,"neg"
1125.44997769606,1384.14067368894,-258.690695992887,2020-02-27,"neg"
1164.61838827959,1442.22989728978,-277.611509010186,2020-02-28,"neg"
1172.63309592702,1491.73592808778,-319.102832160751,2020-02-29,"neg"
1192.87028634592,1528.94925079746,-336.078964451544,2020-03-01,"neg"
1214.79216039974,1555.01338477564,-340.2212243759,2020-03-02,"neg"
1278.40373451173,1559.68936407338,-281.285629561641,2020-03-03,"neg"
1354.23546631837,1545.31073876514,-191.075272446771,2020-03-04,"neg"
1413.46542359184,1527.46655944042,-114.001135848584,2020-03-05,"neg"
1489.82478824898,1501.11794909466,-11.293160845677,2020-03-06,"neg"
1595.6141522449,1468.71328386261,126.900868382284,2020-03-07,"pos"
1704.12891969694,1433.9244979368,270.204421760143,2020-03-08,"pos"
1782.25095067857,1402.90237059529,379.348580083277,2020-03-09,"pos"
1813.8813684051,1384.5287796588,429.352588746301,2020-03-10,"pos"
1850.46098202857,1382.40607205518,468.054909973389,2020-03-11,"pos"
1869.02477585102,1389.2665389284,479.758236922617,2020-03-12,"pos"
1845.21368911735,1410.07483885546,435.138850261882,2020-03-13,"pos"
1777.00278219184,1447.34339949822,329.659382693616,2020-03-14,"pos"
1649.50723330408,1494.63406831002,154.873164994065,2020-03-15,"pos"
1533.90461002347,1550.52355738061,-16.6189473571364,2020-03-16,"neg"
1420.98534376888,1607.10992693079,-186.124583161909,2020-03-17,"neg"
1291.22505425816,1662.18244819499,-370.957393936822,2020-03-18,"neg"
1160.87208693367,1669.35593344253,-508.483846508861,2020-03-19,"neg"
1088.15398568929,1689.99675739196,-601.84277170267,2020-03-20,"neg"
1019.59012937857,1701.36453934135,-681.774409962781,2020-03-21,"neg"
985.852212694643,1706.40293553607,-720.550722841423,2020-03-22,"neg"
943.054721335714,1694.77032288103,-751.715601545315,2020-03-23,"neg"
914.999352680357,1659.07682243562,-744.07746975526,2020-03-24,"neg"
869.277872657143,1522.362926453,-653.085053795859,2020-03-25,"neg"
